时间,网关,传感器,通道,值
2018-03-22 00:59:51.0,1100201607150029,4,20,512.000000
2018-03-22 01:01:54.0,1100201607150029,1,3,0.000000
2018-03-22 01:01:54.0,1100201607150029,1,4,17.000000
2018-03-22 01:01:54.0,1100201607150029,1,64,0.080000
2018-03-22 01:01:54.0,1100201607150029,1,66,3.600000
2018-03-22 01:01:54.0,1100201607150029,1,67,6.900000
2018-03-22 01:01:54.0,1100201607150029,2,3,0.000000
2018-03-22 01:01:54.0,1100201607150029,2,4,0.000000
2018-03-22 01:01:54.0,1100201607150029,2,64,0.000000
2018-03-22 01:01:54.0,1100201607150029,2,66,0.000000
2018-03-22 01:01:54.0,1100201607150029,2,67,0.000000
2018-03-22 01:01:54.0,1100201607150029,3,1,14.400000
2018-03-22 01:01:54.0,1100201607150029,3,2,90.700000
2018-03-22 01:01:54.0,1100201607150029,3,4,14.800000
2018-03-22 01:01:54.0,1100201607150029,3,5,0.117000
2018-03-22 01:01:54.0,1100201607150029,3,20,495.000000
2018-03-22 01:01:55.0,1100201607150029,4,1,14.500000
2018-03-22 01:01:55.0,1100201607150029,4,2,88.800000
2018-03-22 01:01:55.0,1100201607150029,4,4,16.400000
2018-03-22 01:01:55.0,1100201607150029,4,5,0.166000
2018-03-22 01:01:55.0,1100201607150029,4,20,517.000000
2018-03-22 01:03:58.0,1100201607150029,1,3,0.000000
2018-03-22 01:03:58.0,1100201607150029,1,4,18.600000
2018-03-22 01:03:58.0,1100201607150029,1,64,0.080000
2018-03-22 01:03:58.0,1100201607150029,1,66,3.600000
2018-03-22 01:03:58.0,1100201607150029,1,67,6.900000
2018-03-22 01:03:58.0,1100201607150029,2,3,0.000000
2018-03-22 01:03:58.0,1100201607150029,2,4,0.000000
2018-03-22 01:03:58.0,1100201607150029,2,64,0.000000
2018-03-22 01:03:58.0,1100201607150029,2,66,0.000000
2018-03-22 01:03:58.0,1100201607150029,2,67,0.000000
2018-03-22 01:03:58.0,1100201607150029,3,1,14.400000
2018-03-22 01:03:58.0,1100201607150029,3,2,90.800000
2018-03-22 01:03:58.0,1100201607150029,3,4,14.800000
2018-03-22 01:03:58.0,1100201607150029,3,5,0.117000
2018-03-22 01:03:58.0,1100201607150029,3,20,493.000000
2018-03-22 01:03:58.0,1100201607150029,4,1,14.500000
2018-03-22 01:03:58.0,1100201607150029,4,2,88.700000
2018-03-22 01:03:58.0,1100201607150029,4,4,16.400000
2018-03-22 01:03:58.0,1100201607150029,4,5,0.166000
2018-03-22 01:03:58.0,1100201607150029,4,20,522.000000
2018-03-22 01:06:00.0,1100201607150029,1,3,0.000000
2018-03-22 01:06:00.0,1100201607150029,1,4,18.400000
2018-03-22 01:06:00.0,1100201607150029,1,64,0.080000
2018-03-22 01:06:00.0,1100201607150029,1,66,3.600000
2018-03-22 01:06:00.0,1100201607150029,1,67,6.900000
2018-03-22 01:06:00.0,1100201607150029,2,3,0.000000
2018-03-22 01:06:00.0,1100201607150029,2,4,0.000000
2018-03-22 01:06:00.0,1100201607150029,2,64,0.000000
2018-03-22 01:06:00.0,1100201607150029,2,66,0.000000
2018-03-22 01:06:00.0,1100201607150029,2,67,0.000000
2018-03-22 01:06:00.0,1100201607150029,3,1,14.400000
2018-03-22 01:06:00.0,1100201607150029,3,2,90.800000
2018-03-22 01:06:00.0,1100201607150029,3,4,14.800000
2018-03-22 01:06:00.0,1100201607150029,3,5,0.117000
2018-03-22 01:06:00.0,1100201607150029,3,20,496.000000
2018-03-22 01:06:00.0,1100201607150029,4,1,14.500000
2018-03-22 01:06:00.0,1100201607150029,4,2,88.700000
2018-03-22 01:06:00.0,1100201607150029,4,4,16.400000
2018-03-22 01:06:00.0,1100201607150029,4,5,0.164000
2018-03-22 01:06:00.0,1100201607150029,4,20,520.000000
2018-03-22 01:08:04.0,1100201607150029,1,3,0.000000
2018-03-22 01:08:04.0,1100201607150029,1,4,18.700000
2018-03-22 01:08:04.0,1100201607150029,1,64,0.070000
2018-03-22 01:08:04.0,1100201607150029,1,66,3.600000
2018-03-22 01:08:04.0,1100201607150029,1,67,6.900000
2018-03-22 01:08:04.0,1100201607150029,2,3,0.000000
2018-03-22 01:08:04.0,1100201607150029,2,4,0.000000
2018-03-22 01:08:04.0,1100201607150029,2,64,0.000000
2018-03-22 01:08:04.0,1100201607150029,2,66,0.000000
2018-03-22 01:08:04.0,1100201607150029,2,67,0.000000
2018-03-22 01:08:04.0,1100201607150029,3,1,14.300000
2018-03-22 01:08:04.0,1100201607150029,3,2,90.700000
2018-03-22 01:08:04.0,1100201607150029,3,4,14.800000
2018-03-22 01:08:04.0,1100201607150029,3,5,0.118000
2018-03-22 01:08:04.0,1100201607150029,3,20,494.000000
2018-03-22 01:08:04.0,1100201607150029,4,1,14.500000
2018-03-22 01:08:04.0,1100201607150029,4,2,88.700000
2018-03-22 01:08:04.0,1100201607150029,4,4,16.400000
2018-03-22 01:08:04.0,1100201607150029,4,5,0.166000
2018-03-22 01:08:04.0,1100201607150029,4,20,515.000000
2018-03-22 01:10:08.0,1100201607150029,1,3,0.000000
2018-03-22 01:10:08.0,1100201607150029,1,4,18.700000
2018-03-22 01:10:08.0,1100201607150029,1,64,0.080000
